feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
40.73,66.0,A,619.9,Yes,5,,0
30.01,63.0,C,401.77,Yes,4,7.42,0
28.89,89.0,C,783.07,Yes,7,0.12,1
25.44,56.0,C,1168.8,Yes,1,3.82,0
28.66,,C,527.74,No,8,29.46,1
25.75,15.0,B,1322.35,Yes,4,6.15,1
32.93,88.0,A,863.94,Yes,5,18.28,0
31.37,34.0,C,891.08,Yes,2,29.05,1
26.88,43.0,A,1639.55,No,4,14.77,0
25.67,62.0,C,,No,7,5.9,1
32.91,,B,1166.85,Yes,8,60.72,1
19.74,89.0,C,984.24,No,1,6.34,1
32.45,62.0,A,1305.16,Yes,6,35.54,0
34.51,66.0,A,,No,6,0.98,1
29.79,85.0,A,1724.46,Yes,8,12.99,0
,68.0,A,312.45,No,6,9.45,0
26.52,14.0,A,1557.72,No,6,14.57,0
25.57,56.0,C,703.65,No,7,36.07,0
26.24,59.0,A,1191.36,Yes,5,1.27,1
35.29,51.0,C,1089.21,No,8,13.3,0
25.71,44.0,C,451.19,Yes,5,28.37,0
31.44,29.0,B,1125.84,No,1,5.16,0
41.05,27.0,A,1107.14,Yes,7,12.2,0
30.85,29.0,A,494.18,Yes,2,23.75,1
38.65,10.0,A,1369.71,No,6,18.74,0
32.46,69.0,C,966.88,No,3,0.7,0
35.89,32.0,C,1026.42,No,8,4.12,1
29.55,,A,1300.93,No,6,5.14,1
33.72,26.0,C,637.63,No,2,7.02,1
29.27,56.0,A,1028.97,No,3,,0
31.22,18.0,A,1266.52,Yes,4,6.18,0
34.99,28.0,C,1033.19,Yes,9,1.8,0
32.72,21.0,C,970.08,No,8,15.21,0
32.47,61.0,A,910.35,Yes,5,0.79,0
36.08,55.0,A,1086.88,No,4,28.13,0
33.27,30.0,B,,Yes,8,14.55,0
28.15,35.0,B,1639.18,No,4,12.13,1
31.7,7.0,C,1287.29,No,6,62.81,1
22.36,14.0,C,1362.85,Yes,7,19.36,0
28.0,21.0,C,5957.0,Yes,1,24.84,0
38.37,42.0,C,884.6,Yes,9,,1
32.68,55.0,C,999.66,Yes,7,17.05,1
32.46,23.0,B,1090.28,Yes,3,11.25,0
35.18,38.0,A,1456.24,Yes,5,63.6,0
39.72,33.0,C,1037.01,No,5,19.29,1
29.86,65.0,A,768.17,Yes,2,11.93,1
33.93,30.0,C,1177.54,No,1,2.96,1
30.25,90.0,A,1303.63,No,2,1.44,1
31.43,26.0,A,1375.55,No,6,9.75,0
30.02,22.0,C,1769.41,Yes,8,1.23,1
30.01,97.0,C,778.27,No,5,6.46,0
29.25,54.0,C,758.54,No,7,1.1,1
29.92,29.0,B,1644.47,Yes,4,0.11,0
40.31,81.0,C,971.48,Yes,2,,1
34.32,6.0,C,1323.34,No,9,4.69,1
33.21,97.0,A,847.59,No,9,3.47,0
23.32,86.0,A,718.77,Yes,9,36.39,0
28.56,51.0,B,575.34,No,7,,0
38.99,73.0,B,633.66,No,9,12.34,1
33.48,68.0,C,724.58,No,5,13.15,0
27.44,13.0,C,716.46,Yes,6,64.52,1
36.08,,C,,Yes,7,,0
29.9,2.0,A,1051.43,Yes,3,14.13,1
31.87,32.0,B,675.04,Yes,1,5.99,0
32.81,38.0,C,1181.15,Yes,1,24.6,1
,86.0,A,610.95,Yes,8,25.85,0
32.46,42.0,B,699.29,No,8,49.39,0
24.84,3.0,B,1124.29,No,9,1.44,0
28.2,96.0,B,1163.29,Yes,2,5.25,0
30.9,19.0,A,1329.62,No,8,8.46,1
24.85,97.0,C,594.01,No,8,48.23,1
33.36,71.0,B,948.04,No,9,4.27,0
34.77,85.0,B,830.38,No,7,8.98,0
27.89,87.0,A,860.62,No,1,8.89,1
36.57,49.0,C,742.5,Yes,6,,0
26.66,26.0,C,968.61,Yes,2,,0
31.38,70.0,C,823.97,Yes,4,12.72,0
31.3,2.0,A,830.55,Yes,5,39.05,0
31.28,96.0,C,813.7,No,4,25.36,0
34.82,89.0,A,1195.0,No,2,1.36,0
24.96,50.0,A,10644.5,Yes,3,0.48,1
31.21,35.0,C,604.02,No,8,23.7,0
34.98,,A,1630.32,No,8,18.81,0
33.03,73.0,C,746.23,Yes,4,1.34,0
34.69,26.0,B,1242.69,Yes,2,3.79,1
26.78,39.0,C,1129.46,No,7,,0
31.57,23.0,B,890.41,Yes,8,28.2,0
34.6,91.0,B,1146.05,Yes,7,14.08,1
24.82,15.0,C,1165.95,Yes,7,11.32,1
33.27,80.0,A,998.44,Yes,4,3.57,0
32.45,27.0,C,1098.61,Yes,2,11.47,1
24.25,93.0,C,952.4,Yes,5,8.61,0
23.95,67.0,B,639.48,Yes,9,23.95,1
25.3,,C,1475.84,Yes,6,,1
31.33,17.0,C,1169.68,Yes,1,25.21,1
35.35,94.0,A,1312.17,Yes,5,23.59,1
34.49,65.0,A,1416.65,Yes,3,49.76,0
26.63,39.0,B,373.26,Yes,5,13.6,0
25.02,,B,929.08,Yes,6,26.24,0
23.59,,A,1280.82,Yes,1,11.94,1
28.42,4.0,A,511.91,No,5,41.09,1
32.17,10.0,B,764.94,Yes,7,56.64,1
32.29,42.0,B,887.92,Yes,6,8.14,1
35.46,10.0,A,1114.64,No,4,40.21,0
36.26,58.0,B,403.09,Yes,1,128.2,0
20.98,92.0,B,1321.64,Yes,3,24.68,0
28.36,32.0,C,477.99,No,6,4.88,1
33.8,83.0,B,1042.1,No,7,43.41,0
36.95,7.0,B,783.83,Yes,8,3.92,0
25.7,50.0,B,610.79,No,4,8.15,0
31.29,76.0,A,983.89,Yes,4,20.61,0
29.72,99.0,B,1176.88,Yes,1,8.39,1
38.93,86.0,C,1018.27,No,1,73.8,0
,7.0,C,1394.26,No,7,12.3,1
32.6,24.0,C,767.7,No,1,16.21,1
23.66,59.0,B,992.3,No,9,355.5,0
24.06,68.0,C,1117.27,Yes,3,25.22,0
31.67,40.0,C,1125.35,No,2,3.23,1
27.85,23.0,C,1042.38,No,9,51.47,1
35.29,89.0,C,552.41,Yes,4,13.89,1
28.37,76.0,B,1441.31,Yes,3,25.19,0
27.95,11.0,A,773.46,Yes,8,31.94,1
15.62,86.0,A,611.92,No,7,3.51,0
33.98,89.0,B,1172.31,No,9,6.44,0
28.12,98.0,A,639.07,No,3,24.25,1
28.22,47.0,C,1184.97,No,1,19.63,0
29.79,42.0,C,,No,5,9.55,1
25.67,43.0,A,1127.64,Yes,4,13.81,0
32.64,43.0,B,749.26,Yes,3,,1
24.31,55.0,C,13771.5,Yes,2,4.09,0
36.76,30.0,A,,Yes,8,4.98,0
28.12,74.0,C,898.8,Yes,8,415.5,0
18.07,70.0,C,582.23,Yes,6,3.81,0
34.93,86.0,B,1553.05,Yes,1,1.38,0
34.42,2.0,B,1257.39,Yes,4,3.43,1
33.58,5.0,C,,Yes,6,34.95,0
34.21,49.0,B,1483.04,Yes,9,,1
,58.0,A,,Yes,2,19.48,0
33.15,25.0,C,731.6,Yes,2,15.77,0
23.46,91.0,B,1101.28,No,2,27.44,0
34.3,89.0,A,1042.95,No,5,2.59,0
22.67,45.0,A,,Yes,6,28.56,0
35.32,99.0,C,746.07,No,9,41.16,0
31.12,71.0,A,628.11,Yes,4,14.55,1
29.03,74.0,A,1083.21,No,9,7.27,1
31.49,83.0,B,946.19,No,8,33.37,1
28.96,78.0,A,1274.05,Yes,6,6.51,0
31.16,68.0,B,1210.57,Yes,8,2.45,0
37.98,72.0,C,1396.28,No,6,6.9,1
19.61,99.0,A,1104.83,No,4,26.92,1
29.36,21.0,B,878.66,No,8,6.51,0
24.69,18.0,A,823.82,No,3,15.65,0
40.82,27.0,C,1388.48,Yes,3,2.46,0
22.33,58.0,A,1094.89,No,7,,1
32.27,42.0,C,797.22,No,2,24.48,0
30.55,92.0,A,819.97,No,4,12.55,1
27.93,18.0,C,915.04,No,9,33.93,0
33.0,41.0,A,1170.61,No,4,28.46,0
,62.0,C,896.11,No,7,14.56,0
26.29,39.0,A,1099.91,Yes,3,0.28,0
25.19,33.0,B,1102.32,No,8,1.62,0
37.73,11.0,A,783.15,No,5,13.17,0
36.94,80.0,B,1063.98,Yes,2,13.76,1
,64.0,B,691.97,Yes,4,170.85000000000002,1
24.57,10.0,C,1214.03,No,8,26.4,1
28.66,,B,895.6,No,3,15.35,0
24.37,97.0,A,,No,1,,0
35.66,,C,887.75,No,3,12.24,0
,1.0,A,869.12,Yes,8,,1
25.81,57.0,B,1377.8,No,9,0.43,1
25.15,64.0,B,1534.08,No,1,33.31,0
35.07,31.0,A,597.65,No,1,,0
35.69,70.0,A,1246.17,No,4,10.91,0
34.66,76.0,B,1547.31,Yes,4,12.1,0
31.71,59.0,B,1233.06,No,7,59.91,1
38.14,1.0,A,1340.8,No,3,14.1,1
36.31,80.0,A,1083.39,Yes,7,,1
,6.0,A,1254.2,No,9,,1
,77.0,B,1044.13,Yes,2,10.28,0
31.92,27.0,A,804.51,Yes,1,17.26,1
25.25,45.0,C,1045.81,No,3,2.53,0
27.18,31.0,C,1410.36,No,3,16.08,0
33.36,30.0,B,1129.76,Yes,4,12.15,0
30.09,65.0,B,859.46,Yes,9,12.03,0
25.28,45.0,A,877.34,Yes,5,17.0,1
34.29,8.0,B,1053.96,No,9,22.61,1
28.79,35.0,C,668.2,No,2,3.24,1
32.06,39.0,A,1457.54,Yes,8,3.09,0
31.14,39.0,A,886.43,Yes,9,54.96,0
34.15,80.0,A,648.53,Yes,3,44.61,0
38.76,70.0,B,1361.51,No,1,11.1,0
30.0,62.0,A,1037.25,Yes,8,74.64,0
22.04,33.0,A,516.84,No,7,7.83,1
39.23,45.0,C,577.93,No,1,1.96,0
22.94,39.0,C,540.79,Yes,2,8.84,0
31.76,80.0,C,1292.21,Yes,8,2.52,0
30.69,95.0,A,563.14,Yes,6,47.71,0
22.04,23.0,C,1083.89,No,7,16.38,0
,75.0,A,1469.7,Yes,8,50.25,0
36.67,22.0,B,861.67,No,5,9.41,1
30.75,14.0,C,894.37,Yes,6,16.55,0
33.25,81.0,B,939.03,Yes,2,6.25,0
27.61,45.0,A,1049.72,Yes,6,7.1,1
,8.0,B,1105.25,No,5,0.39,0
32.29,57.0,A,650.81,Yes,1,31.44,0
28.66,67.0,B,936.48,Yes,3,16.88,0
37.67,68.0,A,1257.07,No,6,37.22,0
26.6,80.0,C,660.61,Yes,3,15.84,0
29.08,45.0,C,791.29,No,7,54.73,0
29.43,47.0,B,838.53,Yes,3,4.91,0
25.29,19.0,C,590.8,Yes,3,11.05,0
35.27,31.0,C,1241.25,No,5,,0
36.78,49.0,B,838.56,Yes,7,41.13,0
35.34,3.0,C,1568.61,No,1,19.73,0
39.78,34.0,C,693.95,No,9,1.89,1
21.5,97.0,C,1062.49,No,9,9.87,0
28.87,13.0,A,1006.57,Yes,3,11.02,0
27.84,19.0,A,1526.06,No,5,,1
25.27,16.0,B,637.09,No,7,11.97,1
,89.0,B,1708.35,No,3,7.0,0
21.97,4.0,C,984.75,Yes,4,290.85,0
34.58,11.0,C,929.42,No,5,15.26,1
28.11,82.0,A,1943.42,No,1,4.19,0
22.22,18.0,B,1271.06,Yes,3,86.02,1
33.98,93.0,C,1100.4,Yes,6,48.01,0
30.76,35.0,B,1237.38,Yes,4,19.4,0
21.78,24.0,C,871.64,No,1,3.92,1
30.28,22.0,B,1001.27,No,1,20.92,0
29.05,23.0,C,969.11,No,7,11.68,0
30.14,67.0,B,1075.51,Yes,3,61.67,1
35.78,97.0,B,1032.25,No,2,18.43,0
27.81,43.0,B,716.24,Yes,2,7.81,1
44.64,3.0,B,775.81,No,5,13.45,1
35.38,75.0,B,387.22,Yes,6,52.66,1
30.6,85.0,B,1076.47,Yes,2,3.93,0
34.06,5.0,A,786.51,Yes,1,0.51,0
19.95,7.0,A,816.58,Yes,5,96.74,1
30.29,67.0,B,856.41,Yes,1,28.99,0
28.84,76.0,A,903.47,Yes,7,4.32,1
35.95,72.0,A,967.88,No,1,66.48,1
31.68,21.0,B,723.44,No,2,7.93,1
21.58,99.0,C,1139.83,Yes,5,28.33,1
23.34,23.0,C,658.79,Yes,6,42.02,1
28.39,74.0,B,856.69,No,2,7.73,0
26.73,25.0,B,1288.07,No,7,19.37,0
27.43,57.0,B,901.16,No,9,12.07,0
32.49,78.0,C,997.22,Yes,1,17.45,0
21.57,77.0,B,754.84,No,4,10.24,1
31.7,77.0,B,807.4,Yes,4,12.13,0
29.87,,B,636.87,No,2,6.58,0
27.08,71.0,A,,No,4,1.04,0
27.98,73.0,A,379.38,Yes,7,6.11,0
33.53,19.0,C,802.96,No,2,0.39,0
30.61,47.0,C,986.23,No,8,19.71,1
33.76,88.0,A,657.2,Yes,4,21.82,0
32.89,25.0,C,1317.72,No,1,,1
30.07,,C,797.4,Yes,7,97.18,1
35.81,42.0,A,409.91,No,2,22.6,1
35.84,20.0,A,479.01,No,1,0.73,1
34.6,22.0,B,1396.85,No,5,4.88,1
25.4,16.0,A,,Yes,4,29.47,0
28.08,68.0,C,956.12,Yes,7,0.08,1
30.25,74.0,B,1071.83,Yes,2,9.6,0
22.74,35.0,A,1102.29,No,4,6.16,0
22.38,26.0,A,1558.37,Yes,9,5.05,1
31.47,13.0,B,1666.38,No,6,1.88,0
23.99,14.0,C,1251.92,No,6,0.13,0
31.71,49.0,A,1110.33,No,9,14.76,0
37.54,14.0,A,1279.76,No,2,45.47,1
24.46,27.0,B,1649.38,Yes,6,40.08,1
30.15,29.0,C,796.29,No,4,15.88,1
33.45,19.0,A,485.76,Yes,3,3.2,0
38.54,0.0,C,882.93,No,3,19.86,0
40.72,38.0,A,785.75,No,2,6.74,0
39.11,65.0,A,746.61,No,1,37.58,1
34.49,72.0,A,919.97,Yes,4,10.09,1
31.11,,C,919.04,Yes,6,2.33,1
27.34,56.0,C,1270.83,Yes,8,12.69,0
33.55,33.0,B,863.78,Yes,1,5.13,1
25.57,,A,,No,5,55.01,0
27.09,75.0,C,628.35,No,3,,0
23.19,93.0,A,1038.45,Yes,7,18.71,1
27.27,65.0,A,1287.93,Yes,2,18.6,0
35.9,62.0,A,655.34,No,3,19.4,0
25.08,6.0,C,701.16,Yes,7,1.97,0
30.42,82.0,B,1161.78,No,9,20.19,0
20.09,0.0,A,476.53,No,5,47.29,0
37.29,20.0,A,1009.55,No,4,,1
34.1,18.0,A,1420.12,No,4,20.57,1
31.45,6.0,A,1351.19,Yes,8,3.34,1
32.26,37.0,B,1665.46,No,6,58.02,0
29.46,,B,766.79,No,2,19.1,0
31.9,37.0,B,1159.28,Yes,9,47.94,1
23.04,76.0,A,1189.07,No,3,18.32,1
38.49,36.0,C,968.66,Yes,9,2.87,0
28.47,77.0,C,547.18,No,9,3.81,0
31.02,31.0,B,889.9,No,9,15.77,1
33.66,13.0,A,1138.88,Yes,9,27.42,0
36.5,64.0,B,736.21,No,9,9.93,0
,2.0,C,847.05,Yes,9,3.21,1
26.85,95.0,B,839.48,Yes,5,5.74,1
35.12,43.0,B,593.68,No,2,8.36,0
31.64,17.0,C,1333.02,No,3,47.03,0
31.38,30.0,C,,Yes,7,16.72,0
29.04,52.0,C,1508.71,No,1,9.1,0
27.0,29.0,C,703.48,No,5,95.56,0
30.74,28.0,A,858.89,Yes,2,34.47,0
32.54,23.0,C,1466.52,No,8,8.22,1
29.27,56.0,A,724.47,No,8,23.7,1
30.82,92.0,B,916.04,Yes,6,53.34,0
34.17,70.0,A,1009.36,No,8,2.2,1
,81.0,C,1374.04,Yes,5,8.52,0
35.07,4.0,A,1202.43,Yes,3,4.48,0
34.23,18.0,A,736.95,No,8,3.04,1
39.39,87.0,A,1167.33,No,2,80.55,0
36.14,81.0,B,1248.06,No,9,40.19,1
20.16,88.0,B,1475.47,Yes,2,,0
24.75,74.0,A,1233.49,No,8,,1
28.51,88.0,A,922.88,Yes,6,16.53,0
34.73,36.0,C,1017.53,No,6,3.81,1
26.0,69.0,B,1636.61,Yes,8,14.03,1
31.69,28.0,C,825.04,No,4,7.18,1
26.45,15.0,B,968.68,Yes,7,16.07,0
22.4,23.0,C,1733.33,Yes,3,36.55,1
16.75,17.0,B,,No,7,35.58,0
28.35,50.0,B,1008.09,Yes,3,17.2,0
28.68,72.0,B,1303.22,Yes,6,5.52,0
31.46,72.0,C,582.01,Yes,9,15.4,1
33.12,65.0,B,1142.58,No,1,15.08,1
35.95,55.0,C,1045.68,No,5,,1
24.43,54.0,B,1828.88,No,5,33.58,0
32.68,49.0,A,1287.67,Yes,2,21.14,1
25.7,22.0,C,,No,8,7.46,0
32.58,47.0,A,1262.1,No,8,8.42,0
24.36,86.0,A,604.09,No,9,98.9,0
31.43,45.0,B,1014.72,No,3,6.64,1
24.44,33.0,A,912.25,No,8,7.56,0
30.71,51.0,C,844.01,Yes,8,4.63,0
20.92,67.0,B,950.23,Yes,6,6.74,0
34.32,2.0,C,1080.69,Yes,7,68.73,0
27.06,46.0,A,,No,4,4.24,0
32.01,95.0,B,1085.38,No,2,14.04,0
26.19,62.0,A,828.54,Yes,4,14.96,0
27.46,16.0,A,809.33,Yes,2,35.95,0
32.54,39.0,C,1509.39,No,5,8.45,1
,89.0,B,1153.79,Yes,3,28.13,0
31.48,43.0,A,535.75,Yes,9,5.73,0
30.43,18.0,A,933.39,Yes,5,17.59,1
31.28,6.0,A,772.59,No,1,7.8,0
31.08,,A,854.28,No,2,15.66,1
36.3,53.0,A,993.24,Yes,7,19.38,0
19.15,27.0,A,770.62,Yes,4,41.29,0
25.04,68.0,B,1325.81,No,1,4.43,0
35.14,57.0,C,1397.79,No,6,2.38,0
27.27,8.0,B,1441.82,No,5,2.41,1
22.46,22.0,B,1042.4,Yes,3,29.38,0
28.08,21.0,A,957.21,Yes,2,36.93,0
31.71,80.0,B,1057.72,No,4,13.87,0
30.99,73.0,A,1390.55,No,7,2.14,0
32.68,54.0,A,,Yes,3,28.59,0
35.5,50.0,C,1488.85,No,8,21.68,0
31.41,72.0,B,11876.300000000001,No,7,1.01,1
25.41,52.0,C,932.72,Yes,9,2.43,0
28.64,65.0,B,884.92,No,6,5.12,0
19.02,37.0,B,915.24,Yes,8,5.67,0
33.38,73.0,C,835.25,Yes,7,18.49,0
35.08,93.0,A,1012.17,No,2,1.86,1
31.06,62.0,A,,Yes,9,18.38,1
29.95,45.0,C,961.59,Yes,7,38.81,0
30.91,37.0,C,782.89,No,5,23.37,1
30.85,28.0,C,811.04,Yes,1,4.02,1
33.48,58.0,C,,Yes,4,8.95,0
30.88,78.0,B,1183.2,Yes,9,8.09,0
40.85,12.0,C,919.58,No,2,18.55,1
32.55,91.0,C,664.95,No,1,24.44,0
33.45,9.0,B,661.95,Yes,3,7.74,1
19.75,5.0,A,1237.5,No,2,7.65,1
27.56,16.0,B,623.37,Yes,8,61.5,0
36.93,2.0,B,1058.61,Yes,3,14.35,0
34.38,40.0,A,1484.92,Yes,9,46.26,0
26.58,83.0,C,1132.94,No,5,11.88,1
24.17,23.0,A,1264.38,No,7,,0
22.08,1.0,B,664.92,No,3,37.29,1
33.67,27.0,A,1290.36,Yes,4,16.86,0
31.96,1.0,B,1461.82,Yes,8,,1
22.73,3.0,C,,No,3,41.32,0
19.91,89.0,A,646.52,No,8,5.7,0
25.1,8.0,B,596.73,No,5,5.56,1
37.7,5.0,B,877.4,No,9,14.66,1
28.46,77.0,A,1349.19,Yes,3,16.38,0
31.01,39.0,A,1120.07,Yes,9,4.24,1
33.65,83.0,C,1603.69,Yes,4,3.0,0
34.97,24.0,B,768.48,No,7,1.26,1
29.08,23.0,C,1281.14,Yes,6,22.47,1
27.24,57.0,B,1452.32,Yes,3,59.2,0
26.1,61.0,C,929.76,Yes,7,16.14,0
33.37,55.0,B,1614.89,Yes,9,10.23,0
33.85,16.0,A,,No,8,75.33,0
38.06,59.0,B,382.95,No,4,13.76,1
21.73,36.0,B,954.35,Yes,7,4.76,1
34.14,14.0,B,1226.64,Yes,6,27.3,1
28.66,32.0,B,1319.73,Yes,5,11.78,0
23.53,49.0,B,949.06,No,2,48.1,1
27.42,59.0,A,1222.03,No,2,21.08,0
37.75,95.0,B,1246.66,No,2,,0
27.54,79.0,A,564.21,No,3,16.93,1
40.66,34.0,C,731.88,Yes,1,77.83,0
33.97,,A,1016.82,Yes,5,97.21,0
37.82,16.0,B,508.6,No,4,3.93,0
23.52,55.0,C,939.1,No,5,7.63,0
,80.0,C,1264.3,Yes,1,83.45,0
25.83,40.0,A,843.02,No,2,,0
29.95,72.0,C,1408.15,Yes,4,32.65,0
32.04,88.0,C,951.37,No,3,77.74,1
32.26,13.0,A,913.22,Yes,9,44.39,1
27.8,10.0,A,1069.79,No,2,,1
21.01,40.0,A,811.38,No,3,30.99,0
25.2,41.0,C,990.28,No,1,5.36,1
34.84,97.0,A,882.46,No,8,60.0,0
28.93,34.0,C,1255.44,No,3,5.17,0
20.41,87.0,A,1184.3,No,5,,0
24.1,79.0,B,588.65,No,2,12.7,1
34.26,39.0,B,851.02,No,4,4.62,0
21.98,97.0,C,1339.98,No,7,17.74,1
36.33,68.0,C,901.36,Yes,5,1.44,1
31.8,32.0,B,,No,2,40.3,0
33.63,84.0,B,1509.39,No,4,28.6,1
29.64,83.0,C,599.12,No,2,2.63,0
22.92,30.0,C,979.54,Yes,8,39.37,0
30.15,67.0,C,1483.73,No,2,1.73,1
33.78,71.0,B,983.03,Yes,6,15.88,0
33.74,54.0,C,1495.63,Yes,7,17.1,1
23.37,74.0,C,1553.1,Yes,2,13.72,0
35.11,6.0,A,1231.4,No,1,9.23,0
27.19,17.0,C,,Yes,8,,0
25.18,9.0,B,1459.2,Yes,6,2.88,1
35.69,44.0,B,1006.28,Yes,7,13.15,0
24.22,2.0,B,1154.44,Yes,1,35.81,1
34.22,55.0,A,992.59,Yes,6,13.05,1
30.65,29.0,B,447.37,No,1,15.86,1
25.81,73.0,B,885.13,No,3,11.35,0
23.2,79.0,B,1288.99,No,2,5.56,0
35.68,20.0,C,1559.84,Yes,7,,1
23.89,76.0,A,783.94,No,7,9.51,0
33.65,6.0,C,1400.19,No,7,3.36,0
26.8,17.0,B,1020.84,No,9,,1
35.56,55.0,B,953.36,No,9,5.7,1
,89.0,B,989.8,No,5,2.77,0
28.69,54.0,A,769.44,Yes,4,67.99,0
20.96,41.0,C,1217.19,No,2,35.69,0
23.37,4.0,C,1132.5,Yes,5,32.05,0
28.73,17.0,C,798.87,No,6,3.3,0
28.82,74.0,A,1307.43,No,5,1.88,1
33.27,34.0,B,814.98,No,4,2.63,0
24.93,97.0,C,1192.93,Yes,5,147.47,0
33.61,26.0,C,1091.57,Yes,9,35.51,0
26.53,61.0,B,737.02,Yes,1,19.01,0
29.71,79.0,B,,Yes,5,40.69,0
36.0,83.0,C,984.76,No,8,17.28,1
45.97,54.0,B,697.63,No,4,9.06,0
33.87,54.0,A,945.88,Yes,3,17.63,0
25.98,,B,425.23,No,2,1.97,1
36.26,21.0,A,398.63,No,9,,0
29.69,7.0,C,899.47,Yes,3,,1
33.56,19.0,C,947.51,Yes,9,1.49,0
,28.0,A,1064.56,Yes,3,18.94,1
38.37,55.0,C,997.31,No,3,,1
29.21,19.0,C,1713.44,No,7,3.89,1
,38.0,B,926.46,Yes,3,24.32,1
29.91,76.0,B,1000.24,Yes,9,23.59,0
32.85,58.0,A,1173.58,Yes,5,32.94,0
19.04,60.0,B,1232.97,No,6,36.36,1
38.36,6.0,B,1318.68,Yes,3,22.63,0
34.45,77.0,B,843.28,Yes,5,6.42,1
33.83,76.0,B,915.79,No,5,13.02,1
33.19,30.0,C,560.04,Yes,1,22.83,0
25.91,89.0,B,800.28,No,9,,0
32.28,53.0,A,,Yes,2,93.60000000000001,1
35.23,75.0,A,1426.97,Yes,8,16.06,0
28.2,30.0,C,1232.73,Yes,7,3.59,0
37.91,89.0,A,1183.08,No,9,12.87,0
34.15,63.0,A,937.33,Yes,6,14.89,0
29.8,89.0,B,1336.21,Yes,1,16.23,1
31.1,25.0,B,1071.64,Yes,8,7.22,0
21.3,17.0,C,889.34,No,2,22.49,0
30.32,13.0,B,1348.78,Yes,9,4.71,0
42.93,75.0,A,590.15,No,6,27.31,1
27.04,27.0,A,637.76,No,8,14.6,0
31.44,7.0,B,1301.72,No,5,13.01,0
30.62,64.0,C,677.74,No,3,3.6,0
36.28,54.0,C,754.43,No,1,19.35,0
29.7,62.0,A,1154.9,No,7,13.37,1
21.1,32.0,C,532.39,No,5,35.85,0
29.6,28.0,B,679.62,Yes,3,6.01,1
31.26,39.0,C,1173.44,Yes,2,1.95,1
35.83,15.0,C,400.16,Yes,5,3.66,0
27.44,13.0,B,1114.91,Yes,5,0.69,0
39.28,35.0,B,1098.16,No,6,22.66,0
22.96,41.0,A,1070.52,Yes,1,40.62,0
25.9,,C,1302.63,No,3,13.58,1
36.65,92.0,A,1171.55,Yes,9,12.98,0
34.05,,A,977.89,Yes,1,26.03,0
34.13,61.0,C,1210.22,Yes,3,8.72,0
35.0,57.0,A,808.0,No,7,11.53,0
25.62,27.0,B,1034.1,No,3,6.34,0
30.37,61.0,B,847.31,No,2,31.78,1
31.79,47.0,A,673.61,No,6,11.88,1
,92.0,B,1271.35,No,8,13.05,0
36.22,99.0,C,,Yes,4,71.91,0
22.5,50.0,B,1234.34,No,6,24.56,0
32.78,88.0,A,834.34,Yes,7,13.73,0
33.03,,A,694.8,No,2,7.28,0
35.04,84.0,A,1013.78,No,2,0.25,0
25.09,99.0,B,966.44,No,1,12.67,1
33.04,41.0,A,1059.46,Yes,9,30.09,0
14.15,65.0,C,1817.91,Yes,1,11.13,0
35.31,10.0,B,848.86,Yes,5,4.68,0
25.23,71.0,C,996.94,No,4,11.12,0
,14.0,A,921.78,Yes,2,15.56,1
21.56,25.0,A,,Yes,3,6.96,0
33.01,3.0,B,962.91,Yes,9,15.22,1
37.77,20.0,B,327.49,No,8,10.11,1
32.73,70.0,A,663.27,Yes,3,26.84,0
24.46,62.0,C,1251.24,No,6,,1
26.02,95.0,B,778.23,Yes,3,39.73,1
26.96,8.0,C,944.15,No,5,34.41,1
29.99,64.0,B,1304.33,No,3,12.11,0
37.27,95.0,A,,No,3,,1
24.61,16.0,B,1366.8,Yes,5,,0
37.46,24.0,B,1114.23,Yes,8,5.42,1
25.8,12.0,A,677.55,Yes,4,10.81,1
36.34,89.0,C,1043.36,Yes,5,33.94,1
24.47,92.0,C,1438.22,Yes,7,4.55,0
35.79,1.0,B,1068.12,No,1,9.88,0
33.54,97.0,A,1096.54,Yes,9,11.48,1
26.23,89.0,C,1240.52,No,4,4.57,0
20.34,24.0,B,1090.04,No,3,2.31,1
,31.0,B,847.39,Yes,8,4.04,0
,17.0,A,767.1,No,1,25.12,0
34.01,,B,599.44,No,1,5.22,0
28.17,,C,492.02,No,4,36.94,0
29.81,96.0,A,915.52,No,8,,0
31.03,93.0,C,1444.13,No,6,5.92,1
21.73,14.0,A,1368.75,Yes,8,29.99,1
21.13,75.0,B,1086.23,No,9,10.66,1
32.78,3.0,B,1594.95,Yes,1,537.6,1
29.95,58.0,C,1470.32,Yes,3,0.3,0
39.61,12.0,B,669.71,Yes,2,11.16,0
35.64,83.0,A,,Yes,1,7.24,0
25.23,15.0,B,1106.0,Yes,9,3.19,1
31.72,7.0,C,1603.48,Yes,4,5.43,1
31.08,84.0,C,1084.48,Yes,8,20.26,0
24.16,65.0,B,729.28,No,4,42.37,0
27.05,38.0,C,1459.17,Yes,3,31.1,0
27.42,94.0,C,1102.52,No,7,73.52,0
35.45,9.0,B,490.78,No,8,57.84,0
23.94,69.0,B,1033.27,Yes,9,5.11,0
30.05,22.0,B,645.01,Yes,2,48.11,0
30.34,59.0,B,741.78,Yes,4,17.1,0
,83.0,C,1489.58,Yes,4,9.34,1
34.46,18.0,C,918.91,Yes,5,53.45,0
